,小区名,所属区,所属镇,街道,起步价格,户型,面积,特点
40,中锦鑫座,浦东,惠南,拱极路2626弄42号,28500,,103118㎡,在售标准写字楼郊环外银行车位充足装修交付地铁沿线
41,昊·梦想谷,浦东,祝桥,百熙路5号,45000,,108459㎡,在售商务园区外郊环小型社区学校银行公园
42,亲水湾朗廷,浦东,康桥,御秀路878弄,64350,"3室                                                                                                                        
                                                                                        ",93-103㎡,待售住宅一房一价第六批集中入市中外环小型社区低容积
43,恒大小区,浦东,浦东世博,成山路544、608弄,68000,"1室/2室                                                                                                                        
                                                                                        ",47-86㎡,待售住宅一房一价第六批集中入市内中环低容积多轨交
44,浦开江南里,浦东,张江,科苑路与龙东大道交汇处,83927,"别墅                                                                                                                        
                                                                                        ",190-350㎡,待售别墅内中环大户型低容积品牌开发商
45,大名城映晖,浦东,临港新城,海洋一路海基一路交汇处（临港科技广场...,32022,"3室/4室                                                                                                                        
                                                                                        ",95-121㎡,在售住宅一房一价低容积郊环外项目在建南北通透
46,中房晶华公馆,浦东,三林,浦东新区三林路1515号（近东明路）,75000,,19044㎡,在售标准写字楼中外环小型社区多轨交前滩辐射区品牌开发商
47,安盛街商铺,浦东,三林,安盛街365号,73800,,8000㎡,在售临街店铺中外环装修交付小型社区轨交房品牌开发商
48,浦发唐城,浦东,唐镇,东至华东路，西至中心河/顾唐路，南至...,69310,"3室/4室                                                                                                                        
                                                                                        ",85-150㎡,待售住宅外郊环地块规划轨交房大户型品牌开发商
49,森兰美奂,浦东,外高桥,启帆路515号（近地铁6号线洲海路站）,35000,,180-571.77㎡,在售标准写字楼中外环装修交付学校5A写字楼轨交房
50,远洋财富中心商铺,浦东,外高桥,台中南路68号,60000,,60000㎡,在售临街店铺外郊环便利店医院银行轨交房
51,森兰海天名筑,浦东,祝桥,航亭环路与卫亭路交汇处,38321,"3室/4室                                                                                                                        
                                                                                        ",88-122㎡,待售住宅外郊环项目在建低容积大户型品牌开发商
52,恒越华鼎广场,浦东,三林,海阳路上南路口,100000,,50054㎡,在售临街店铺内中环配套纯熟医院商业街购物中心
53,中金海棠湾商铺,浦东,周康,周浦镇周祝公路80-102号，瑞建路174-1...,55000,,240187㎡,在售社区底商外郊环小型社区品牌开发商
54,汇福大玥城,浦东,周康,周泰路87号,45700,,139000㎡,在售临街店铺沿街商铺外郊环学校小型社区低单价
55,君领国际写字楼,浦东,周康,周浦镇周市路428号,29000,,36159㎡,在售标准写字楼郊环外小型社区配套纯熟公园医院
56,世联MINI SPACE,浦东,张江,祖冲之路2288号2号楼,36000,,45000㎡,在售标准写字楼外郊环小型社区轨交房品牌开发商
57,星创城,浦东,惠南,拱北路111弄(近观海路),15500,,59131㎡,在售标准写字楼外郊环低单价品牌开发商
58,远洋财富中心,浦东,外高桥,台中南路68号（近加枫路）,35000,,59990㎡,在售标准写字楼中外环医院银行便利店轨交房
59,上海君御公馆,浦东,惠南,拱极路2223弄,32419,"3室/4室                                                                                                                        
                                                                                        ",90-140㎡,待售住宅一房一价项目在建外郊环低容积南北通透
